,name,born,proven_victims,estimated_victims,zodiac_sign
428,"Ray, Clifton",7/27/1958,3,6+,leo
429,"Red Dog, James Allen",2/1/1954,5,5,aquarius
430,"Reece, William Lewis",7/1/1959,4,4+,cancer
431,"Rees, Melvin",24-Jun-60,5,9+,
432,"Reeves, Jack",6/20/1940,4,4,gemini
433,"Reid, Paul Dennis",11/12/1957,7,7,scorpio
434,"Rembert, Robert",3/15/1970,5,5+,pisces
435,"Reséndiz, Ángel Maturino",8/1/1960,10,16,leo
436,"Rhoades, Paul Ezra",1/18/1957,3,7+,capricorn
437,"Rhoades, Robert Ben",11/22/1945,3,50+,sagittarius
438,"Rice, Stanley",8/7/1942,3,5+,leo
439,"Rich, Darrell Keith",2/14/1955,4,4,aquarius
440,"Richards, Stephen Dee",1856-03-18,9,9+,pisces
441,"Richmond, Earl",11/6/1961,4,4,scorpio
442,"Ridgway, Gary",2/18/1949,49,90+,aquarius
443,"Rifkin, Joel",1/20/1959,9,17+,aquarius
444,"Rissell, Montie",11/28/1958,5,5,sagittarius
445,"Ritchie, James Dale",11/4/1976,5,5+,scorpio
446,"Rivera, Reinaldo",9/13/1963,4,4,virgo
447,"Robinson, Harvey Miguel",12/6/1974,3,3,sagittarius
448,"Robinson, John Edward",12/27/1943,8,8+,capricorn
449,"Roche, John Francis",9/6/1927,4,6,virgo
450,"Rodriguez, Antonio",10/28/1988,3,3,scorpio
451,"Rogers, Dayton Leroy",9/30/1953,7,8+,libra
452,"Rogers, Glen Edward",7/15/1962,4,5,cancer
453,"Rolling, Danny",5/26/1954,8,8,gemini
454,"Ross, Michael Bruce",7/26/1959,8,8+,leo
455,"Roye, Norman",9/6/1935,3,3,virgo
456,"Rozier, Robert",7/28/1955,4,7,leo
457,NFL,9/17/1920,4,7,virgo
458,Yahweh ben Yahweh,10/27/1935,4,7,scorpio
459,"Runge, Paul",1/28/1970,7,8+,aquarius
460,"Saenz, Kimberly Clark",11/3/1973,5,10+,scorpio
461,"Saldivar, Efren",9/30/1969,6,50+,libra
462,"Samartaney, Malik",6/7/1953,3,6,gemini
463,"Sanchez, Altemio",1/19/1958,3,3+,capricorn
464,"Sapp, William",3/22/1962,3,3+,aries
465,"Schmid, Charles",7/8/1942,3,4,cancer
466,"Schmidt, Helmuth",1876-07-04,1,4+,cancer
467,"Seda, Heriberto",7/31/1967,3,3,leo
468,"Segundo, Juan",1/25/1963,4,4+,aquarius
469,"Sells, Tommy Lynn",6/28/1964,6,22+,cancer
470,"Severance, Charles",9/25/1960,3,3,libra
471,"Sharp, Michael Eugene",4/24/1954,3,5+,taurus
472,"Shaw, Sebastian",11/28/1967,3,13,sagittarius
473,"Shawcross, Arthur",6/6/1945,12,14,gemini
474,"Shermantine, Wesley",12/8/1965,4,19,sagittarius
475,Loren Herzog,12/8/1965,4,19,sagittarius
476,"Shore, Anthony Allen",6/25/1962,4,4+,cancer
477,"Shulman, Robert",3/28/1954,5,5,aries
478,"Siebert, Daniel Lee",6/17/1954,10,13,gemini
479,"Silva, Mauricio",10/25/1959,4,4,scorpio
480,"Silveria Jr., Robert Joseph",3/3/1959,9,14+,pisces
481,"Simmons, Beoria",5/17/1954,3,3,taurus
482,"Sinclair, Charles T.",11/24/1946,13,13+,sagittarius
483,"Smith, Gayno",1/23/1938,6,6,aquarius
484,"Smith, Lemuel",7/23/1941,5,6,leo
485,"Smith, Mark Alan",6/27/1949,4,12+,cancer
